,train_coxloss,train_cindex,train_uno_cindex,val_coxloss,val_cindex,val_uno_cindex
0,0.071247845666933,0.5134390871314557,0.5163355769076926,0.0025877205722303277,0.9134615384615384,0.8430523308620831
1,0.07000408185879711,0.6440903054448871,0.613960541389565,0.0025452007371259025,0.9423076923076923,0.8964282136261641
2,0.06092392969951939,0.6845343908108847,0.6426285493399008,0.002453873315489436,0.9230769230769231,0.9106925103903215
3,0.06847737088635145,0.6954401997267888,0.6546200548038272,0.0022561171327728823,0.9278846153846154,0.9263729865268835
4,0.06729941532598976,0.6774690530027211,0.6469472754797205,0.0021416020680622883,0.9375,0.9292696820720394
5,0.05957759196861231,0.7500123699097822,0.6881253926585983,0.002013052622955966,0.9230769230769231,0.9188846228105145
6,0.06431995364416306,0.7665554616915565,0.7136409250216801,0.001944911049073001,0.9326923076923077,0.9277638921510047
7,0.057384171119706354,0.7656220442650861,0.721662965317273,0.0019297962447246872,0.9278846153846154,0.919524729278738
8,0.05020889263806234,0.7747025913609664,0.7137692759878458,0.0019174853721296932,0.9230769230769231,0.9172681402018057
9,0.048962228681374335,0.7892110525359025,0.7318832379933102,0.0019316175974995256,0.9230769230769231,0.9172681402018057
10,0.058715823359093686,0.776,0.7158672311881635,0.0019713302692735053,0.9086538461538461,0.9060173974874697
11,0.05785977896730266,0.7861331232291399,0.747961488371071,0.0019716679690832115,0.9038461538461539,0.9088776987530608
12,0.05391653347634754,0.7833386889460154,0.7285751819635213,0.0019780454865421155,0.9038461538461539,0.9088776987530608
13,0.04555866069458274,0.8255177576312068,0.7499533673519165,0.0019434728177197009,0.9086538461538461,0.9051517140346587
14,0.05645720968362291,0.7685510166697197,0.7115321463624441,0.002010221402329135,0.8942307692307693,0.8923993730085272
15,0.051736089583189704,0.704997975161987,0.6652897379965244,0.0021189831825624028,0.875,0.8670417779235035
16,0.05021894828751985,0.7993064014337474,0.731741090689522,0.002160540725811418,0.8653846153846154,0.857296825130202
17,0.044436033646728185,0.8145264793299108,0.752904323057386,0.0021142103226788073,0.8701923076923077,0.8528200412559022
18,0.046375569755490495,0.8309394244383412,0.7564549178231834,0.0021360275975192884,0.8701923076923077,0.8631687062378625
19,0.04787481419349972,0.8392703234835965,0.7791449942965466,0.0021654681628008924,0.8653846153846154,0.8498126530230724
20,0.04959394211168231,0.8316099984474461,0.7793543172922796,0.002194357744182449,0.8605769230769231,0.843940771915412
21,0.045346910634182405,0.829103420360251,0.7837182650264828,0.00223056487290256,0.8557692307692307,0.8460502740251054
