,folds,val_c_index
0,0,0.8269230769230769
1,1,0.7634408602150538
2,2,0.8448687350835322
3,3,0.5905511811023622
4,4,0.7025316455696202
5,5,0.75
6,6,0.762214983713355
7,7,0.579088471849866
8,8,0.7391304347826086
9,9,0.5650118203309693
